,location,total_sqft,bath,price,BHK
44,5th Phase JP Nagar,1200.0,2.0,68.0,2
45,5th Phase JP Nagar,1190.0,2.0,61.8,2
46,5th Phase JP Nagar,4000.0,5.0,170.0,5
47,5th Phase JP Nagar,1080.0,2.0,53.0,2
48,5th Phase JP Nagar,1041.0,2.0,54.0,2
49,5th Phase JP Nagar,812.0,2.0,42.0,2
50,5th Phase JP Nagar,1010.0,2.0,57.0,2
51,5th Phase JP Nagar,1450.0,2.0,73.0,3
52,5th Phase JP Nagar,2500.0,8.0,95.0,7
53,5th Phase JP Nagar,1075.0,2.0,60.0,2
54,5th Phase JP Nagar,2400.0,4.0,228.0,4
55,7th Phase JP Nagar,1000.0,2.0,38.0,2
56,7th Phase JP Nagar,1080.0,2.0,72.0,2
57,7th Phase JP Nagar,1270.0,2.0,93.0,2
58,7th Phase JP Nagar,1420.0,2.0,100.0,3
59,7th Phase JP Nagar,1850.0,3.0,150.0,3
60,7th Phase JP Nagar,1245.0,2.0,94.0,2
61,7th Phase JP Nagar,1175.0,2.0,82.0,2
62,7th Phase JP Nagar,1400.0,2.0,95.0,3
63,7th Phase JP Nagar,2225.0,3.0,160.0,3
64,7th Phase JP Nagar,1050.0,2.0,71.0,2
65,7th Phase JP Nagar,1100.0,2.0,46.0,2
66,7th Phase JP Nagar,918.0,2.0,50.49,2
67,7th Phase JP Nagar,1450.0,2.0,100.0,3
68,7th Phase JP Nagar,1040.0,2.0,39.52,2
69,7th Phase JP Nagar,1070.0,2.0,42.79,2
70,7th Phase JP Nagar,1190.0,2.0,49.98,2
71,7th Phase JP Nagar,1420.0,2.0,96.0,3
72,7th Phase JP Nagar,1680.0,3.0,120.0,3
73,7th Phase JP Nagar,1050.0,2.0,42.0,2
74,7th Phase JP Nagar,980.0,2.0,69.0,2
75,7th Phase JP Nagar,1035.0,2.0,41.39,2
76,7th Phase JP Nagar,1370.0,2.0,56.17,2
77,7th Phase JP Nagar,1180.0,2.0,72.0,2
78,7th Phase JP Nagar,5080.0,7.0,450.0,6
79,7th Phase JP Nagar,1300.0,2.0,52.0,3
80,7th Phase JP Nagar,1050.0,2.0,57.0,3
81,7th Phase JP Nagar,1343.0,2.0,56.41,3
82,7th Phase JP Nagar,1405.0,2.0,59.01,3
83,7th Phase JP Nagar,1400.0,3.0,115.0,3
84,7th Phase JP Nagar,1075.0,2.0,42.99,2
85,7th Phase JP Nagar,1100.0,2.0,44.0,2
86,7th Phase JP Nagar,1270.0,2.0,83.0,2
87,7th Phase JP Nagar,3300.0,4.0,150.0,4
88,7th Phase JP Nagar,2503.0,4.0,188.0,4
89,7th Phase JP Nagar,2200.0,3.0,190.0,3
90,7th Phase JP Nagar,1035.0,2.0,39.33,2
91,7th Phase JP Nagar,1250.0,3.0,65.0,3
92,7th Phase JP Nagar,1050.0,2.0,42.0,2
93,7th Phase JP Nagar,1385.0,2.0,58.17,3
94,7th Phase JP Nagar,1575.0,2.0,110.0,3
95,7th Phase JP Nagar,1850.0,3.0,140.0,3
96,7th Phase JP Nagar,1370.0,2.0,54.79,3
97,7th Phase JP Nagar,1370.0,2.0,54.79,3
98,7th Phase JP Nagar,4800.0,7.0,170.0,7
99,7th Phase JP Nagar,1300.0,2.0,52.0,3
100,7th Phase JP Nagar,1575.0,2.0,120.0,3
101,7th Phase JP Nagar,1850.0,3.0,150.0,3
102,7th Phase JP Nagar,1680.0,3.0,120.0,3
103,7th Phase JP Nagar,1212.0,3.0,42.0,2
104,7th Phase JP Nagar,1175.0,2.0,82.5,2
105,7th Phase JP Nagar,3300.0,4.0,160.0,3
106,7th Phase JP Nagar,2200.0,4.0,105.0,3
107,7th Phase JP Nagar,1215.0,2.0,90.0,2
108,7th Phase JP Nagar,1050.0,2.0,75.0,2
109,7th Phase JP Nagar,1300.0,3.0,89.13,3
110,7th Phase JP Nagar,1130.0,2.0,73.0,2
111,7th Phase JP Nagar,1450.0,3.0,100.0,3
112,7th Phase JP Nagar,1350.0,3.0,58.0,3
113,7th Phase JP Nagar,1050.0,2.0,50.0,2
114,7th Phase JP Nagar,1275.0,2.0,87.0,2
115,7th Phase JP Nagar,1460.0,3.0,70.0,3
116,7th Phase JP Nagar,1650.0,3.0,110.0,3
117,7th Phase JP Nagar,850.0,2.0,42.0,2
118,7th Phase JP Nagar,1680.0,3.0,117.0,3
119,7th Phase JP Nagar,1850.0,3.0,150.0,3
120,7th Phase JP Nagar,1236.0,2.0,61.33,2
121,7th Phase JP Nagar,1000.0,2.0,53.0,2
122,7th Phase JP Nagar,1680.0,3.0,125.0,3
123,7th Phase JP Nagar,1675.0,2.0,135.0,3
124,7th Phase JP Nagar,1035.0,2.0,39.33,2
125,7th Phase JP Nagar,1187.0,2.0,59.0,2
126,7th Phase JP Nagar,1850.0,3.0,155.0,3
127,7th Phase JP Nagar,1000.0,2.0,61.0,2
128,7th Phase JP Nagar,1460.0,2.0,100.0,3
129,7th Phase JP Nagar,1650.0,3.0,110.0,3
130,7th Phase JP Nagar,1200.0,2.0,62.5,2
131,7th Phase JP Nagar,1000.0,2.0,70.65,2
132,7th Phase JP Nagar,1070.0,2.0,42.0,2
133,7th Phase JP Nagar,1080.0,2.0,75.0,2
134,7th Phase JP Nagar,2100.0,3.0,200.0,3
135,7th Phase JP Nagar,1415.0,3.0,65.0,3
136,7th Phase JP Nagar,1680.0,3.0,125.0,3
137,7th Phase JP Nagar,1040.0,2.0,41.59,2
138,7th Phase JP Nagar,1100.0,2.0,44.0,2
139,7th Phase JP Nagar,1460.0,2.0,97.0,3
140,7th Phase JP Nagar,1120.0,2.0,65.0,2
141,7th Phase JP Nagar,1100.0,3.0,60.0,2
142,7th Phase JP Nagar,1790.0,3.0,120.0,3
143,7th Phase JP Nagar,1680.0,3.0,117.0,3
144,7th Phase JP Nagar,1050.0,2.0,77.0,2
145,7th Phase JP Nagar,1174.0,2.0,47.0,2
146,7th Phase JP Nagar,1050.0,2.0,75.0,2
147,7th Phase JP Nagar,1040.0,2.0,75.0,2
148,7th Phase JP Nagar,1400.0,2.0,95.0,3
149,7th Phase JP Nagar,1800.0,3.0,130.0,3
150,7th Phase JP Nagar,1050.0,2.0,68.0,2
151,7th Phase JP Nagar,1400.0,2.0,57.0,3
152,7th Phase JP Nagar,1000.0,2.0,60.0,2
153,7th Phase JP Nagar,1680.0,3.0,125.0,3
154,7th Phase JP Nagar,980.0,2.0,86.0,2
155,7th Phase JP Nagar,1370.0,2.0,54.79,3
156,7th Phase JP Nagar,1050.0,2.0,77.47,2
157,7th Phase JP Nagar,1270.0,2.0,80.0,2
158,7th Phase JP Nagar,1463.0,2.0,61.45,3
159,7th Phase JP Nagar,1680.0,3.0,122.0,3
160,7th Phase JP Nagar,1070.0,2.0,42.79,2
161,7th Phase JP Nagar,1130.0,2.0,85.0,2
162,7th Phase JP Nagar,1680.0,3.0,130.0,3
163,7th Phase JP Nagar,2000.0,3.0,77.0,3
164,7th Phase JP Nagar,1300.0,2.0,52.0,3
165,7th Phase JP Nagar,2980.0,4.0,260.0,3
166,7th Phase JP Nagar,980.0,2.0,77.44,2
167,7th Phase JP Nagar,1680.0,3.0,112.0,3
168,7th Phase JP Nagar,1515.0,2.0,76.0,3
169,7th Phase JP Nagar,2095.0,3.0,150.0,3
170,7th Phase JP Nagar,1370.0,2.0,54.79,3
171,7th Phase JP Nagar,1976.0,3.0,145.0,3
172,7th Phase JP Nagar,1600.0,2.0,110.0,3
173,7th Phase JP Nagar,1765.0,3.0,118.0,3
174,7th Phase JP Nagar,1275.0,2.0,88.0,3
175,7th Phase JP Nagar,1450.0,2.0,102.0,3
176,7th Phase JP Nagar,1035.0,2.0,39.33,2
177,7th Phase JP Nagar,1575.0,2.0,110.0,3
178,7th Phase JP Nagar,2100.0,3.0,200.0,3
179,7th Phase JP Nagar,1075.0,2.0,57.0,3
180,7th Phase JP Nagar,750.0,1.0,47.0,1
181,7th Phase JP Nagar,1050.0,2.0,42.0,2
182,7th Phase JP Nagar,990.0,2.0,50.0,2
183,7th Phase JP Nagar,1000.0,1.0,60.0,1
184,7th Phase JP Nagar,1680.0,2.0,92.0,3
185,7th Phase JP Nagar,1100.0,2.0,44.0,2
186,7th Phase JP Nagar,1430.0,2.0,102.0,3
187,7th Phase JP Nagar,1128.0,2.0,60.0,2
188,7th Phase JP Nagar,2100.0,3.0,190.0,3
189,7th Phase JP Nagar,1140.0,2.0,57.0,2
190,7th Phase JP Nagar,1420.0,3.0,90.0,3
191,7th Phase JP Nagar,1530.0,2.0,108.0,2
192,8th Phase JP Nagar,1073.0,2.0,54.005,2
193,8th Phase JP Nagar,451.0,1.0,29.9,1
194,8th Phase JP Nagar,1240.0,3.0,43.5,3
195,8th Phase JP Nagar,1062.0,2.0,42.47,2
196,8th Phase JP Nagar,1230.0,2.0,43.5,3
197,8th Phase JP Nagar,1455.0,3.0,73.31,3
198,8th Phase JP Nagar,871.0,2.0,55.0,2
199,8th Phase JP Nagar,1098.0,2.0,43.91,2
200,8th Phase JP Nagar,1800.0,3.0,80.0,3
201,8th Phase JP Nagar,2700.0,4.0,130.0,4
202,8th Phase JP Nagar,1080.0,2.0,38.0,2
203,8th Phase JP Nagar,1059.0,2.0,34.5,2
204,8th Phase JP Nagar,1080.0,2.0,35.0,2
205,8th Phase JP Nagar,1275.0,2.0,41.5,3
206,8th Phase JP Nagar,1062.0,2.0,42.47,2
207,8th Phase JP Nagar,500.0,1.0,31.0,1
208,8th Phase JP Nagar,1100.0,2.0,35.0,2
209,8th Phase JP Nagar,2100.0,4.0,92.0,4
210,8th Phase JP Nagar,1035.0,2.0,39.33,2
211,8th Phase JP Nagar,909.0,2.0,40.9,2
212,8th Phase JP Nagar,1431.0,3.0,72.02,3
213,8th Phase JP Nagar,1900.0,4.0,90.0,3
214,8th Phase JP Nagar,500.0,1.0,30.0,1
215,8th Phase JP Nagar,1125.0,2.0,36.94,2
216,8th Phase JP Nagar,1200.0,3.0,110.0,4
217,8th Phase JP Nagar,1100.0,2.0,35.0,2
218,8th Phase JP Nagar,1089.0,2.0,43.55,2
219,8th Phase JP Nagar,1605.0,2.0,65.0,3
220,8th Phase JP Nagar,1504.0,2.0,83.0,3
221,8th Phase JP Nagar,2600.0,4.0,115.0,4
222,8th Phase JP Nagar,1368.0,2.0,54.71,3
223,8th Phase JP Nagar,1089.0,2.0,43.55,2
224,8th Phase JP Nagar,1224.0,2.0,48.95,3
225,8th Phase JP Nagar,1513.0,2.0,62.0,2
226,8th Phase JP Nagar,1298.0,2.0,59.0,2
227,8th Phase JP Nagar,1006.0,2.0,44.0,2
228,8th Phase JP Nagar,500.0,1.0,33.0,1
229,8th Phase JP Nagar,1160.0,2.0,95.0,2
230,8th Phase JP Nagar,1245.0,2.0,59.0,2
231,8th Phase JP Nagar,1510.0,2.0,80.0,2
232,8th Phase JP Nagar,3300.0,3.0,165.0,3
233,8th Phase JP Nagar,1730.0,5.0,75.0,5
234,8th Phase JP Nagar,1296.0,2.0,51.83,3
235,8th Phase JP Nagar,1275.0,3.0,45.0,3
236,8th Phase JP Nagar,1046.0,2.0,48.0,2
237,8th Phase JP Nagar,1269.0,2.0,50.75,3
238,8th Phase JP Nagar,1408.0,3.0,80.0,3
239,8th Phase JP Nagar,1500.0,2.0,55.0,3
240,9th Phase JP Nagar,1005.0,2.0,50.0,2
241,9th Phase JP Nagar,1890.0,2.0,85.0,3
242,9th Phase JP Nagar,1100.0,2.0,65.0,2
243,9th Phase JP Nagar,1080.0,2.0,37.0,2
244,9th Phase JP Nagar,1035.0,2.0,45.0,2
245,9th Phase JP Nagar,5000.0,4.0,290.0,4
246,9th Phase JP Nagar,1164.0,2.0,56.0,2
247,9th Phase JP Nagar,1005.0,2.0,42.0,2
248,9th Phase JP Nagar,3500.0,4.0,300.0,4
249,9th Phase JP Nagar,1127.0,2.0,50.0,2
250,9th Phase JP Nagar,1005.0,2.0,43.0,2
251,9th Phase JP Nagar,835.0,2.0,37.0,2
252,9th Phase JP Nagar,1050.0,2.0,39.0,2
253,9th Phase JP Nagar,660.0,2.0,27.0,2
254,9th Phase JP Nagar,600.0,1.0,20.0,1
255,9th Phase JP Nagar,1466.0,2.0,71.0,2
256,9th Phase JP Nagar,1890.0,2.0,93.0,3
257,9th Phase JP Nagar,1079.0,2.0,60.0,2
258,9th Phase JP Nagar,1480.0,2.0,80.0,2
259,9th Phase JP Nagar,1200.0,2.0,80.0,2
260,9th Phase JP Nagar,905.0,2.0,32.0,2
261,9th Phase JP Nagar,1073.0,2.0,52.36,2
262,9th Phase JP Nagar,1719.3,2.0,88.0,3
263,9th Phase JP Nagar,1780.0,3.0,88.0,3
264,9th Phase JP Nagar,1300.0,2.0,58.0,3
265,9th Phase JP Nagar,1522.0,3.0,90.0,3
266,9th Phase JP Nagar,1571.0,3.0,65.0,3
267,9th Phase JP Nagar,1900.0,4.0,80.0,4
268,9th Phase JP Nagar,890.0,2.0,45.0,2
269,9th Phase JP Nagar,1240.0,2.0,39.89,3
270,9th Phase JP Nagar,5000.0,4.0,300.0,4
271,9th Phase JP Nagar,1240.0,2.0,42.85,3
272,9th Phase JP Nagar,1050.0,2.0,35.0,2
273,9th Phase JP Nagar,1331.95,2.0,69.0,2
274,Akshaya Nagar,1388.0,2.0,57.0,2
275,Akshaya Nagar,1070.0,2.0,54.0,2
276,Akshaya Nagar,1280.0,2.0,58.0,2
277,Akshaya Nagar,1662.0,3.0,85.1,3
278,Akshaya Nagar,1897.0,3.0,120.0,3
279,Akshaya Nagar,1410.0,2.0,75.0,3
280,Akshaya Nagar,1360.0,2.0,85.0,3
281,Akshaya Nagar,1600.0,2.0,65.0,3
282,Akshaya Nagar,1410.0,2.0,80.0,3
283,Akshaya Nagar,1662.0,3.0,85.0,3
284,Akshaya Nagar,1080.0,4.0,75.0,4
285,Akshaya Nagar,1662.0,3.0,85.5,3
286,Akshaya Nagar,1280.0,2.0,60.0,2
287,Akshaya Nagar,1666.0,3.0,95.0,3
288,Akshaya Nagar,1575.0,3.0,90.0,3
289,Akshaya Nagar,1430.0,2.0,75.0,3
290,Akshaya Nagar,1419.0,2.0,73.0,3
291,Akshaya Nagar,1280.0,2.0,60.0,2
292,Akshaya Nagar,1200.0,2.0,50.0,2
293,Akshaya Nagar,1092.0,2.0,60.0,2
294,Akshaya Nagar,1690.0,3.0,85.0,3
295,Akshaya Nagar,1700.0,3.0,80.0,3
296,Akshaya Nagar,1897.0,4.0,93.0,3
297,Akshaya Nagar,1884.0,3.0,98.0,3
298,Akshaya Nagar,1314.0,2.0,68.8,2
299,Akshaya Nagar,1690.0,3.0,85.0,3
300,Akshaya Nagar,1265.0,2.0,67.0,2
301,Akshaya Nagar,1126.0,2.0,55.0,2
302,Akshaya Nagar,2300.0,4.0,102.0,3
303,Akshaya Nagar,1662.0,3.0,90.0,3
304,Akshaya Nagar,1420.0,2.0,75.0,3
305,Akshaya Nagar,1412.0,2.0,88.0,3
306,Akshaya Nagar,1434.0,3.0,84.0,3
307,Akshaya Nagar,1890.0,4.0,100.0,3
308,Akshaya Nagar,2650.0,3.0,125.0,3
309,Akshaya Nagar,1419.0,2.0,87.0,3
310,Akshaya Nagar,1300.0,2.0,54.0,2
311,Akshaya Nagar,1690.0,3.0,85.0,3
312,Akshaya Nagar,1113.0,2.0,52.0,2
313,Akshaya Nagar,1820.0,4.0,95.0,3
314,Akshaya Nagar,1100.0,2.0,48.0,2
315,Akshaya Nagar,1896.0,3.0,102.0,3
316,Akshaya Nagar,1300.0,2.0,66.0,2
317,Akshaya Nagar,1225.0,2.0,68.0,2
318,Akshaya Nagar,1179.0,2.0,51.0,2
319,Akshaya Nagar,1421.0,2.0,73.0,3
320,Akshaya Nagar,1893.0,4.0,95.0,3
321,Akshaya Nagar,900.0,2.0,45.0,2
322,Ambalipura,1105.0,2.0,75.0,2
323,Ambalipura,1800.0,3.0,110.0,3
324,Ambalipura,1150.0,2.0,80.0,2
325,Ambalipura,1250.0,2.0,66.25,2
326,Ambalipura,1332.0,2.0,79.0,2
327,Ambalipura,1730.0,3.0,120.0,3
328,Ambalipura,3500.0,3.0,198.0,3
329,Ambalipura,1230.0,2.0,66.25,2
330,Ambalipura,1351.0,2.0,77.0,2
331,Ambalipura,2550.0,4.0,149.0,4
332,Ambalipura,1817.0,3.0,102.0,3
333,Ambalipura,2750.0,4.0,142.0,4
334,Ambalipura,1303.0,2.0,80.0,2
335,Ambalipura,1607.0,2.0,112.0,3
336,Ambalipura,770.0,1.0,43.82,1
337,Ambalipura,1700.0,2.0,76.0,2
338,Ambalipura,1060.0,2.0,58.5,2
339,Ambalipura,1650.0,3.0,100.0,3
340,Ambalipura,1607.0,2.0,112.0,3
341,Ambalipura,1198.0,2.0,80.0,2
342,Ambedkar Nagar,1935.0,4.0,130.0,3
343,Ambedkar Nagar,1424.0,2.0,90.0,2
344,Ambedkar Nagar,2225.0,4.0,169.0,3
345,Ambedkar Nagar,1862.0,3.0,120.0,3
346,Ambedkar Nagar,1850.0,4.0,139.0,3
347,Ambedkar Nagar,1936.0,4.0,126.0,3
348,Ambedkar Nagar,1862.0,3.0,119.0,3
349,Ambedkar Nagar,1424.0,2.0,90.0,2
350,Ambedkar Nagar,2150.0,4.0,125.0,3
351,Ambedkar Nagar,3530.0,4.0,290.0,4
352,Ambedkar Nagar,1856.0,3.0,120.0,3
353,Ambedkar Nagar,1852.0,3.0,130.0,3
354,Ambedkar Nagar,1850.0,4.0,120.0,3
355,Ambedkar Nagar,1367.0,2.0,86.0,2
356,Ambedkar Nagar,3565.0,4.0,255.0,4
357,Ambedkar Nagar,1409.0,2.0,95.0,2
358,Ambedkar Nagar,1950.0,4.0,120.0,3
359,Ambedkar Nagar,1921.0,4.0,129.0,3
360,Ambedkar Nagar,1920.0,4.0,121.0,3
361,Ambedkar Nagar,1935.0,4.0,125.0,3
362,Ambedkar Nagar,1852.0,4.0,122.0,3
363,Ambedkar Nagar,1950.0,4.0,120.0,3
364,Ambedkar Nagar,1852.0,3.0,125.0,3
365,Ambedkar Nagar,1850.0,4.0,121.0,3
366,Ambedkar Nagar,1425.0,2.0,94.0,2
367,Ambedkar Nagar,2395.0,4.0,150.0,3
368,Anandapura,1167.0,2.0,43.76,2
369,Anandapura,1000.0,2.0,55.0,2
370,Anandapura,1141.0,2.0,42.79,2
371,Anandapura,1576.0,3.0,59.1,3
372,Anandapura,1200.0,2.0,67.0,2
373,Anandapura,1200.0,2.0,58.0,2
374,Anandapura,1151.0,2.0,43.1,2
375,Anandapura,1141.0,2.0,42.75,2
376,Anandapura,900.0,2.0,48.0,2
377,Anandapura,1749.0,4.0,90.0,4
378,Anandapura,1151.0,2.0,42.9,2
379,Anandapura,1576.0,3.0,58.0,3
380,Anandapura,1250.0,2.0,45.0,2
381,Anandapura,875.0,2.0,57.0,2
382,Anandapura,1151.0,2.0,43.16,2
383,Anandapura,1200.0,2.0,58.0,2
384,Anandapura,1200.0,2.0,66.0,3
385,Anandapura,1415.0,2.0,74.0,3
386,Anandapura,1200.0,2.0,50.0,2
387,Anandapura,1141.0,2.0,50.0,2
388,Anandapura,1576.0,3.0,58.7,3
389,Ananth Nagar,500.0,1.0,14.0,1
390,Ananth Nagar,1100.0,2.0,31.5,2
391,Ananth Nagar,982.0,2.0,24.55,2
392,Ananth Nagar,500.0,2.0,14.0,1
393,Ananth Nagar,900.0,2.0,22.5,2
394,Ananth Nagar,908.0,2.0,26.0,2
395,Ananth Nagar,870.0,2.0,36.0,2
396,Ananth Nagar,937.0,2.0,35.0,2
397,Ananth Nagar,960.0,2.0,37.0,2
398,Ananth Nagar,500.0,1.0,14.0,1
399,Ananth Nagar,1000.0,2.0,29.7,2
400,Ananth Nagar,850.0,2.0,25.99,2
401,Ananth Nagar,902.0,2.0,25.26,2
402,Ananth Nagar,1470.0,3.0,54.0,3
403,Ananth Nagar,810.0,2.0,25.5,2
404,Ananth Nagar,890.0,2.0,27.0,2
405,Ananth Nagar,1200.0,2.0,36.0,2
406,Ananth Nagar,1319.0,3.0,37.75,3
407,Ananth Nagar,1319.0,3.0,42.0,3
408,Ananth Nagar,1000.0,2.0,25.0,2
409,Ananth Nagar,902.0,2.0,25.0,2
410,Ananth Nagar,930.0,2.0,25.99,2
411,Ananth Nagar,1074.0,2.0,26.85,2
412,Ananth Nagar,500.0,1.0,14.0,1
413,Ananth Nagar,1010.0,2.0,38.0,2
414,Ananth Nagar,992.0,2.0,24.8,2
415,Anekal,1200.0,1.0,36.0,2
416,Anekal,656.0,2.0,22.0,2
417,Anekal,620.0,2.0,22.0,2
418,Anekal,600.0,1.0,16.5,1
419,Anekal,925.0,2.0,40.0,2
420,Anekal,530.0,1.0,18.0,1
421,Anekal,1800.0,3.0,68.0,3
422,Anekal,1200.0,1.0,36.0,2
423,Anekal,351.0,1.0,16.0,1
424,Anekal,1035.0,2.0,38.3,2
425,Anekal,888.0,2.0,34.0,2
426,Anekal,1200.0,2.0,36.1,2
427,Anekal,700.0,1.0,19.4,2
428,Anekal,1200.0,1.0,36.0,2
429,Anekal,1200.0,2.0,36.0,4
430,Anekal,766.0,2.0,28.0,2
431,Anekal,967.0,2.0,45.0,3
432,Anekal,620.0,1.0,23.5,2
433,Anekal,1150.0,3.0,45.0,3
434,Anekal,1200.0,1.0,36.0,2
435,Anekal,1200.0,1.0,36.0,2
436,Anekal,400.0,1.0,11.5,1
437,Anekal,456.0,1.0,15.0,1
438,Anekal,1200.0,1.0,36.0,2
439,Anekal,1200.0,1.0,36.0,2
440,Anekal,2400.0,4.0,95.0,3
441,Anekal,1200.0,2.0,36.1,2
442,Anekal,1200.0,2.0,36.1,2
443,Anekal,680.0,1.0,21.0,2
444,Anekal,420.0,1.0,12.5,1
445,Anekal,614.0,1.0,28.0,2
446,Anekal,1140.0,2.0,52.0,2
447,Anekal,625.0,1.0,25.0,2
448,Attibele,450.0,1.0,11.0,1
449,Attibele,1600.0,4.0,52.8,4
450,Attibele,656.0,2.0,25.0,2
451,Attibele,400.0,1.0,11.0,1
452,Attibele,400.0,1.0,12.0,1
453,Attibele,400.0,1.0,14.0,1
454,Attibele,500.0,1.0,17.0,1
455,Attibele,2168.0,4.0,95.0,4
456,Attibele,395.0,1.0,10.25,1
457,Attibele,420.0,1.0,17.0,1
458,Attibele,1639.0,2.0,40.98,3
459,Attibele,418.0,1.0,12.0,1
460,Attibele,1200.0,2.0,42.0,2
461,Attibele,400.0,1.0,10.0,1
462,Attibele,695.0,1.0,25.0,2
463,Attibele,850.0,1.0,25.0,2
464,Attibele,2400.0,3.0,120.0,3
465,Attibele,450.0,1.0,12.5,1
466,Attibele,995.0,1.0,24.88,2
467,Attibele,900.0,1.0,25.0,2
468,Attibele,1174.0,2.0,29.35,2
469,Attibele,782.0,1.0,19.55,1
470,Attibele,1175.0,2.0,29.38,2
471,Attibele,656.0,2.0,25.0,2
472,Attibele,400.0,1.0,11.5,1
473,Attibele,460.0,1.0,13.0,1
474,Attibele,418.0,2.0,11.5,1
475,Attibele,1000.0,2.0,42.0,2
476,Attibele,550.0,1.0,11.5,1
477,Attibele,996.0,2.0,24.9,2
478,Attibele,410.0,1.0,10.0,1
479,Attibele,1700.0,3.0,65.0,3
480,Attibele,400.0,1.0,10.25,1
481,Attibele,656.0,2.0,25.0,2
482,Attibele,1500.0,3.0,90.0,3
483,Attibele,520.0,1.0,15.0,1
484,BTM 2nd Stage,1260.0,5.0,185.0,3
485,BTM 2nd Stage,950.0,2.0,52.0,2
486,BTM 2nd Stage,1850.0,3.0,170.0,3
487,BTM 2nd Stage,1200.0,2.0,80.0,2
488,BTM 2nd Stage,1274.0,2.0,70.0,2
489,BTM 2nd Stage,1250.0,3.0,50.0,3
490,BTM 2nd Stage,1070.0,2.0,48.0,2
491,BTM 2nd Stage,1280.0,2.0,80.0,2
492,BTM 2nd Stage,1100.0,2.0,70.0,2
493,BTM 2nd Stage,1000.0,2.0,58.0,2
494,BTM 2nd Stage,2990.0,5.0,416.0,5
495,BTM 2nd Stage,1265.0,2.0,55.0,2
496,BTM 2nd Stage,2200.0,3.0,220.0,3
497,BTM 2nd Stage,2780.0,4.0,325.0,3
498,BTM 2nd Stage,2400.0,2.0,360.0,3
499,BTM 2nd Stage,965.0,2.0,56.0,2
500,BTM 2nd Stage,1147.0,2.0,75.0,2
501,BTM 2nd Stage,1750.0,3.0,172.0,3
502,BTM 2nd Stage,1400.0,2.0,90.0,2
503,BTM 2nd Stage,1200.0,2.0,70.0,2
504,BTM 2nd Stage,1100.0,2.0,47.0,2
505,BTM 2nd Stage,930.0,2.0,46.0,2
506,BTM 2nd Stage,1265.0,2.0,55.0,3
507,BTM 2nd Stage,2500.0,3.0,345.0,3
508,Babusapalaya,1358.0,2.0,43.4,3
509,Babusapalaya,1213.0,2.0,41.39,3
510,Babusapalaya,1611.0,2.0,66.0,3
511,Babusapalaya,1167.0,2.0,39.98,3
512,Babusapalaya,1675.0,3.0,75.0,3
513,Babusapalaya,1141.0,2.0,46.0,2
514,Babusapalaya,1084.0,2.0,58.0,2
515,Babusapalaya,1500.0,2.0,57.0,2
516,Babusapalaya,1453.0,2.0,43.59,3
517,Babusapalaya,1050.0,2.0,45.0,2
